MOVIE ID,WATCH DATE,MINUTES WATCHED
tt0086646,12/13/2019,18
tt0330099,04/12/2018,50
tt0068891,08/12/2017,52
tt0037492,07/14/2015,37
tt0368026,05/14/2017,32
tt0104864,06/30/2019,83
tt1172974,05/23/2016,62
tt0031108,07/25/2015,24
tt0310790,04/17/2020,71
tt0368688,02/03/2020,96
tt0400771,08/26/2015,51
tt0085183,03/22/2019,12
tt0067277,01/04/2019,69
tt0049427,02/27/2015,46
tt0297905,06/17/2019,1
tt0795463,12/19/2017,76
tt0098209,03/02/2016,50
tt0315426,05/21/2020,14
tt2369573,01/17/2020,76
tt0044188,02/25/2015,52
tt0030252,01/08/2015,90
tt0042326,04/25/2016,70
tt2234543,09/04/2019,43
tt0042490,04/25/2015,96
tt0119794,08/04/2020,48
tt1981059,05/01/2020,57
tt0034976,01/26/2015,60
tt0018235,09/16/2019,63
tt1836099,07/22/2015,60
tt0106308,09/07/2020,80
tt1368860,08/13/2018,52
tt0056142,01/16/2017,5
tt0046035,01/11/2017,24
tt0055588,03/06/2015,25
tt0049340,12/01/2019,42
tt0083629,08/15/2020,92
tt0237588,07/31/2015,39
tt0297067,12/25/2016,116
tt0029529,05/13/2016,36
tt0048308,01/08/2016,36
tt0070098,04/30/2018,46
tt0115887,04/14/2020,23
tt1862079,02/08/2018,11
tt0213205,02/27/2019,74
tt0035560,07/31/2019,69
tt0096170,07/18/2015,15
tt2082496,03/28/2017,82
tt0065405,04/20/2017,83
tt1527049,06/22/2015,82
tt0246677,01/04/2015,90
tt0065670,07/18/2019,24
tt0043938,03/04/2018,42
tt0823462,07/10/2015,19
tt0402378,06/01/2019,11
tt1232826,03/25/2018,74
tt0375066,08/25/2020,100
tt0090830,05/14/2020,71
tt1226681,08/07/2019,34
tt0197523,07/20/2020,24
tt0422689,01/03/2020,121
tt2248905,03/17/2017,29
tt1641633,12/21/2017,79
tt0171851,01/25/2017,35
tt1523485,09/25/2019,25
tt0049200,03/10/2015,75
tt0047279,12/28/2017,1
tt0045161,02/03/2015,23
tt0030481,09/25/2018,71
tt0115007,06/25/2019,23
tt1261910,06/17/2016,64
tt0962762,07/17/2017,53
tt0099341,09/19/2019,56
tt0069803,02/13/2016,58
tt0089114,04/16/2016,70
tt0312329,01/29/2020,68
tt0182663,09/09/2016,32
tt0425637,03/30/2018,135
tt0113075,12/04/2016,20
tt1226232,06/21/2015,16
tt0245356,04/30/2016,81
tt0089238,01/24/2020,56
tt0164018,07/25/2018,32
tt0095815,08/26/2019,38
tt0433416,03/17/2017,77
tt2556936,11/05/2019,67
tt0094215,03/10/2015,90
tt1833845,03/17/2018,56
tt2149814,01/22/2020,3
tt0043299,07/27/2018,19
tt0063130,10/24/2018,79
tt0087133,11/26/2016,4
